"id","var","p","n_cl","pnoise","LD1_prop_var","LD2_prop_var","LD3_prop_var","LD1","LD2","LD3","var_rating","var_corr"
1,"V1",8,3,5,0.996938577962756,0.00306142203724385,NA,-0.0868637246894799,-0.356252729244954,NA,NA,NA
1,"V2",8,3,5,0.996938577962756,0.00306142203724385,NA,0.350346604142128,-0.275090697597699,NA,NA,NA
1,"V3",8,3,5,0.996938577962756,0.00306142203724385,NA,2.51416742584652,1.05709756247236,NA,NA,NA
1,"V4",8,3,5,0.996938577962756,0.00306142203724385,NA,-0.227177786417951,-0.228948849158749,NA,NA,NA
1,"V5",8,3,5,0.996938577962756,0.00306142203724385,NA,-0.0152729874519316,-0.0234853923853814,NA,NA,NA
1,"V6",8,3,5,0.996938577962756,0.00306142203724385,NA,-0.236519522477683,-0.529494216535014,NA,NA,NA
1,"V7",8,3,5,0.996938577962756,0.00306142203724385,NA,-1.46484481061888,1.22221554275475,NA,NA,NA
1,"V8",8,3,5,0.996938577962756,0.00306142203724385,NA,-0.0758882961931177,-0.177592906102848,NA,NA,NA
2,"V1",8,3,5,0.620484593513468,0.379515406486532,NA,0.0341077322308402,0.150782484297989,NA,NA,NA
2,"V2",8,3,5,0.620484593513468,0.379515406486532,NA,-0.305455745647485,0.0244231227886568,NA,NA,NA
2,"V3",8,3,5,0.620484593513468,0.379515406486532,NA,-1.31232307528787,-1.91668029727286,NA,NA,NA
2,"V4",8,3,5,0.620484593513468,0.379515406486532,NA,-0.0159721293579978,0.534343099480877,NA,NA,NA
2,"V5",8,3,5,0.620484593513468,0.379515406486532,NA,-0.0728424060280609,0.310362819843568,NA,NA,NA
2,"V6",8,3,5,0.620484593513468,0.379515406486532,NA,0.108756063546173,0.0392804463016283,NA,NA,NA
2,"V7",8,3,5,0.620484593513468,0.379515406486532,NA,2.10029907463847,-1.30286568139703,NA,NA,NA
2,"V8",8,3,5,0.620484593513468,0.379515406486532,NA,-0.134953811210878,0.138975461480401,NA,NA,NA
3,"V1",8,3,5,0.770099266146062,0.229900733853938,NA,0.374367228829744,0.174227787309888,NA,NA,NA
3,"V2",8,3,5,0.770099266146062,0.229900733853938,NA,-0.163598473522545,0.50236472105314,NA,NA,NA
3,"V3",8,3,5,0.770099266146062,0.229900733853938,NA,0.10177626992465,-0.19836723435132,NA,NA,NA
3,"V4",8,3,5,0.770099266146062,0.229900733853938,NA,0.200743214871785,0.31201076913688,NA,NA,NA
3,"V5",8,3,5,0.770099266146062,0.229900733853938,NA,-0.00934095954622967,-0.0894216111042667,NA,NA,NA
3,"V6",8,3,5,0.770099266146062,0.229900733853938,NA,-2.40876229833633,0.153672062785855,NA,NA,NA
3,"V7",8,3,5,0.770099266146062,0.229900733853938,NA,-0.266368901815741,-1.59197736136417,NA,NA,NA
3,"V8",8,3,5,0.770099266146062,0.229900733853938,NA,0.205937042392056,0.235362466138563,NA,NA,NA
4,"V1",8,3,5,0.867866520038304,0.132133479961696,NA,0.97873271951706,0.975285773570648,NA,NA,NA
4,"V2",8,3,5,0.867866520038304,0.132133479961696,NA,0.164406723128425,-0.276324292128863,NA,NA,NA
4,"V3",8,3,5,0.867866520038304,0.132133479961696,NA,-1.22682756352335,0.0179278364876615,NA,NA,NA
4,"V4",8,3,5,0.867866520038304,0.132133479961696,NA,-0.0591257543544434,-0.313068554087507,NA,NA,NA
4,"V5",8,3,5,0.867866520038304,0.132133479961696,NA,0.199936212750417,-0.192676602723053,NA,NA,NA
4,"V6",8,3,5,0.867866520038304,0.132133479961696,NA,-0.723179094637555,1.10911068881305,NA,NA,NA
4,"V7",8,3,5,0.867866520038304,0.132133479961696,NA,0.0533019052868352,0.010235082884842,NA,NA,NA
4,"V8",8,3,5,0.867866520038304,0.132133479961696,NA,0.0553333314035067,-0.274484093261633,NA,NA,NA
5,"V1",8,3,5,0.948553680668561,0.0514463193314388,NA,-0.523620426765714,-0.143024063570403,NA,NA,NA
5,"V2",8,3,5,0.948553680668561,0.0514463193314388,NA,-0.0661922263335379,-0.72292754338752,NA,NA,NA
5,"V3",8,3,5,0.948553680668561,0.0514463193314388,NA,-0.121072260558736,-0.0114531531756143,NA,NA,NA
5,"V4",8,3,5,0.948553680668561,0.0514463193314388,NA,3.06481393496544,-0.308462300070966,NA,NA,NA
5,"V5",8,3,5,0.948553680668561,0.0514463193314388,NA,0.0203810273398725,-0.372391045130725,NA,NA,NA
5,"V6",8,3,5,0.948553680668561,0.0514463193314388,NA,0.116391823482377,1.26940634821241,NA,NA,NA
5,"V7",8,3,5,0.948553680668561,0.0514463193314388,NA,-0.0269820487078549,-0.0226754100166488,NA,NA,NA
5,"V8",8,3,5,0.948553680668561,0.0514463193314388,NA,-0.27591668736219,-0.298116253376652,NA,NA,NA
6,"V1",8,3,5,0.774562063392082,0.225437936607918,NA,0.227858688293054,-0.366416563020304,NA,NA,NA
6,"V2",8,3,5,0.774562063392082,0.225437936607918,NA,-0.188030023293208,0.438714085675057,NA,NA,NA
6,"V3",8,3,5,0.774562063392082,0.225437936607918,NA,3.61901468652663,0.190351762338814,NA,NA,NA
6,"V4",8,3,5,0.774562063392082,0.225437936607918,NA,-0.124685192962988,0.0865878679049723,NA,NA,NA
6,"V5",8,3,5,0.774562063392082,0.225437936607918,NA,-0.404064828569399,0.338387795052493,NA,NA,NA
6,"V6",8,3,5,0.774562063392082,0.225437936607918,NA,-0.214314453799839,-0.0106536684355206,NA,NA,NA
6,"V7",8,3,5,0.774562063392082,0.225437936607918,NA,0.15904106879951,-2.00695773626852,NA,NA,NA
6,"V8",8,3,5,0.774562063392082,0.225437936607918,NA,-0.267474319585224,0.057163828963011,NA,NA,NA
7,"V1",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,0.216638579873435,0.217953665239482,-0.0921482473402416,NA,NA
7,"V2",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,1.91263219193817,-0.560086472926138,0.833774377400014,NA,NA
7,"V3",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,-0.259298186872821,-0.860396583635243,-0.93270113200274,NA,NA
7,"V4",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,-0.982432678619338,-0.752798663068167,1.04097143922158,NA,NA
7,"V5",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,0.0350584562151402,0.311334487840867,-0.197241056974187,NA,NA
7,"V6",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,-0.260819571189688,0.482682565513049,0.326331116133089,NA,NA
7,"V7",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,0.112360498047771,0.204533495497472,-0.252285453323186,NA,NA
7,"V8",8,4,4,0.917732825768939,0.0771294875301053,0.00513768670095516,-0.145100911533389,0.115758167544514,0.243868133508275,NA,NA
8,"V1",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,0.47195762915304,-1.30832623996558,-0.957005029866023,NA,NA
8,"V2",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,-0.33658402102194,-0.244226951207691,0.0185992656456525,NA,NA
8,"V3",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,1.21332402401022,0.399576932221032,-0.631312874359436,NA,NA
8,"V4",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,-0.0433977033262423,-0.00231107689149752,0.00172665226291749,NA,NA
8,"V5",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,-0.260047140570703,0.0676936556947969,0.180597038862531,NA,NA
8,"V6",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,-0.587970765781945,1.19811549721701,-0.973006865401531,NA,NA
8,"V7",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,1.13267060235836,0.874972417071053,1.08525472696193,NA,NA
8,"V8",8,4,4,0.571873937789047,0.276529331549803,0.15159673066115,-0.227028418775478,-0.0995860035638695,0.1609890712909,NA,NA
9,"V1",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,0.376422981349232,-0.402291127060795,0.49990157019485,NA,NA
9,"V2",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,-0.0740427565527164,0.257140048659816,0.239303878349884,NA,NA
9,"V3",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,0.547252443886349,-0.570406430214323,-1.13920706858299,NA,NA
9,"V4",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,-0.969318303934706,0.113150147273002,-0.594330926368108,NA,NA
9,"V5",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,-0.000941973519185235,-0.000157564994134635,0.138058934877694,NA,NA
9,"V6",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,-1.89714832057634,-0.562635415393708,0.222896324213722,NA,NA
9,"V7",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,0.351845060939336,-0.0213094540809075,0.0558034687163289,NA,NA
9,"V8",8,4,4,0.841631352316678,0.131467283034056,0.0269013646492667,0.0486631000548919,1.39186631367604,-0.301976612047728,NA,NA
10,"V1",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,-0.290798681206122,0.0915354739985025,-0.260142685936328,NA,NA
10,"V2",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,-0.47959015190469,-1.89728326710424,0.247138793577573,NA,NA
10,"V3",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,0.044456851064166,0.0802485870153989,-0.133415974508346,NA,NA
10,"V4",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,0.314809653842167,0.109343501771369,-0.173629934838741,NA,NA
10,"V5",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,0.20392110356027,0.266363115127233,-0.401402168283066,NA,NA
10,"V6",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,1.95453300778198,-0.244276545570188,-0.420118599006536,NA,NA
10,"V7",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,-0.886088204485594,0.158582721573156,-0.255038534502024,NA,NA
10,"V8",8,4,4,0.523974818027292,0.262811630650699,0.213213551322009,-0.0115285659178437,0.385407149589018,1.97262643970622,NA,NA
11,"V1",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,0.5729802565521,-0.218468042474306,0.637276060944751,NA,NA
11,"V2",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,-1.41426398883449,1.33497928023023,-0.634426261335997,NA,NA
11,"V3",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,0.253332513184044,0.0650288203357219,0.024736711729978,NA,NA
11,"V4",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,0.100718320908051,-0.999384127297421,-1.30203602411596,NA,NA
11,"V5",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,-1.75866250035505,-1.30248624220545,1.22016714732937,NA,NA
11,"V6",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,-0.146154175481495,0.108762988938523,-0.0697972818485666,NA,NA
11,"V7",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,0.0242340594735605,0.241644186324089,0.0606088614545047,NA,NA
11,"V8",8,4,4,0.727138454207133,0.245961767287637,0.0268997785052295,0.255983926246092,0.35288812457194,0.140908837617915,NA,NA
12,"V1",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,0.0469797475992759,-0.0250334481901031,0.242671318085625,NA,NA
12,"V2",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,0.0208086131988128,-0.211293175126138,-0.0480756962449746,NA,NA
12,"V3",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,0.0925999881028351,-0.0467632112541505,0.385430977429559,NA,NA
12,"V4",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,-0.590270569607646,-1.47107624787982,-1.10507826761445,NA,NA
12,"V5",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,2.10604178495768,0.980771346585088,-0.395051964477136,NA,NA
12,"V6",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,-2.30091218162682,1.81928138978194,-0.471268938885178,NA,NA
12,"V7",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,-0.149793513157797,-0.0691178112951624,0.32839127710705,NA,NA
12,"V8",8,4,4,0.636276134406967,0.358013855839381,0.00571000975365211,0.29028275124149,0.28569954833777,-1.05558119208936,NA,NA
13,"V1",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,-0.0610602769734684,0.529527711883606,-0.20643934225176,NA,NA
13,"V2",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,0.0332642071065349,0.19223448503245,0.166994643980481,NA,NA
13,"V3",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,-1.5299040855456,-0.921268844236276,0.281127944052673,NA,NA
13,"V4",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,-0.0756087176041552,0.344459498025537,0.101287847643316,NA,NA
13,"V5",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,-0.199488644664078,-2.12010496605721,-1.23385988537755,NA,NA
13,"V6",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,0.232974886039719,-0.00874621838815864,-0.428410940898953,NA,NA
13,"V7",10,4,5,0.685116891447785,0.290348671058066,0.024534437494148,0.982378094536137,-0.603070913647666,1.4453325617354,NA,NA
