"blockrep","var","sim_id","question","response","duration"
"n1",NA,"001","How many clusters exist?",NA,"default"
"n2",NA,"002","How many clusters exist?",NA,"default"
"n3",NA,"003","How many clusters exist?",NA,"default"
"d1",1,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",2,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",3,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",4,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",5,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",6,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",7,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",8,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",9,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d1",10,"001","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",1,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",2,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",3,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",4,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",5,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",6,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",7,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",8,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",9,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",10,"002","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d2",11,"002","Rank the variables in order of importance to distinguish groups?",NA,"1"
"d2",12,"002","Rank the variables in order of importance to distinguish groups?",NA,"1"
"d3",1,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d3",2,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d3",3,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d3",4,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d3",5,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d3",6,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d3",7,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"d3",8,"003","Rank the variables in order of importance to distinguish groups?",NA,"default"
"s1",1,"001","Group any/all correlated variables.",NA,"default"
"s1",2,"001","Group any/all correlated variables.",NA,"default"
"s1",3,"001","Group any/all correlated variables.",NA,"default"
"s1",4,"001","Group any/all correlated variables.",NA,"default"
"s1",5,"001","Group any/all correlated variables.",NA,"default"
"s1",6,"001","Group any/all correlated variables.",NA,"default"
"s1",7,"001","Group any/all correlated variables.",NA,"default"
"s1",8,"001","Group any/all correlated variables.",NA,"default"
"s1",9,"001","Group any/all correlated variables.",NA,"default"
"s1",10,"001","Group any/all correlated variables.",NA,"default"
"s2",1,"002","Group any/all correlated variables.",NA,"default"
"s2",2,"002","Group any/all correlated variables.",NA,"default"
"s2",3,"002","Group any/all correlated variables.",NA,"default"
"s2",4,"002","Group any/all correlated variables.",NA,"default"
"s2",5,"002","Group any/all correlated variables.",NA,"default"
"s2",6,"002","Group any/all correlated variables.",NA,"default"
"s2",7,"002","Group any/all correlated variables.",NA,"default"
"s2",8,"002","Group any/all correlated variables.",NA,"default"
"s2",9,"002","Group any/all correlated variables.",NA,"default"
"s2",10,"002","Group any/all correlated variables.",NA,"default"
"s2",11,"002","Group any/all correlated variables.",NA,"0"
"s2",12,"002","Group any/all correlated variables.",NA,"0"
"s3",1,"003","Group any/all correlated variables.",NA,"default"
"s3",2,"003","Group any/all correlated variables.",NA,"default"
"s3",3,"003","Group any/all correlated variables.",NA,"default"
"s3",4,"003","Group any/all correlated variables.",NA,"default"
"s3",5,"003","Group any/all correlated variables.",NA,"default"
"s3",6,"003","Group any/all correlated variables.",NA,"default"
"s3",7,"003","Group any/all correlated variables.",NA,"default"
"s3",8,"003","Group any/all correlated variables.",NA,"default"
"survey1",NA,NA,"What gender are you?","5 (default)",NA
"survey2",NA,NA,"What age are you?","5 (default)",NA
"survey3",NA,NA,"What is your highest level of completed education?","5 (default)",NA
"survey4",NA,NA,"This visualization was easy to use.","5 (default)",NA
"survey5",NA,NA,"I am confident of my answers.","5 (default)",NA
"survey6",NA,NA,"This visualization is easily understandable.","5 (default)",NA
"survey7",NA,NA,"I would recommend using this visualization","5 (default)",NA
"survey8",NA,NA,"I am an expert on multivariate  data and related visualization","5 (default)",NA
"survey9",NA,NA,"I have broad experience with data visualization.","5 (default)",NA
"survey10",NA,NA,"I had previous knowledge of this visualization.","5 (default)",NA
