"user_id","factor","taskblock","sim_id","question","interaction","duration","response","answer","score","concern"
"2_MU00163053_001","training","n1","t1","How many clusters do you see?",2,"34","3","3",0,"no"
"2_MU00163053_001","training","n2","t2","How many clusters do you see?",1,"9","3","3",0,"no"
"2_MU00163053_001","training","p1","t1","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA
"2_MU00163053_001","training","p1","t1","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA
"2_MU00163053_001","training","p1","t1","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA
"2_MU00163053_001","training","p1","t1","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA
"2_MU00163053_001","training","p2","t2","Very important distinguishing clusters 'a' from 'b'",1,"19","V3","V 1, V 2, V 3, V 6",-12,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","training","p2","t2","Somewhat important distinguishing clusters 'a' from 'b'",1,"42","V1, V5, V6","<none>",-3,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","training","p2","t2","Very important distinguishing clusters 'b' from 'c'",1,"78","V2, V6","V 2, V 6",0,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","training","p2","t2","Somewhat important distinguishing clusters 'b' from 'c'",1,"79","V3, V5","<none>",-2,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","n1","201","How many clusters do you see?",1,"16","3","3",0,"no"
"2_MU00163053_001","grand","n2","207","How many clusters do you see?",1,"10","4","4",0,"no"
"2_MU00163053_001","grand","n3","213","How many clusters do you see?",1,"7","4","4",0,"no"
"2_MU00163053_001","grand","p1","202","Very important distinguishing clusters 'a' from 'b'",1,"36","V2, V4","V 2, V 4, V 5",-4,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","p1","202","Somewhat important distinguishing clusters 'a' from 'b'",1,"51","V1, V3, V5","<none>",-3,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","p1","202","Very important distinguishing clusters 'b' from 'c'",1,"90","V3","V 2, V 3, V 4, V 5",-12,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","p1","202","Somewhat important distinguishing clusters 'b' from 'c'",1,"89","V1, V4, V5","<none>",-3,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","p2","208","Very important distinguishing clusters 'a' from 'b'",1,"45","V2","V 2",0,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","p2","208","Somewhat important distinguishing clusters 'a' from 'b'",1,"63","V1, V4, V5, V6","V 1, V 3",-4,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","p2","208","Very important distinguishing clusters 'b' from 'c'",1,"136","V2","V 4, V 6",-12,"Some, task2 ab or bc contains same var."
"2_MU00163053_001","grand","p2","208","Somewhat important distinguishing clusters 'b' from 'c'",1,"151","V4, V5, V6","V 1, V 2, V 3, V 7",-7,"Some, task2 ab or bc contains same var."
