"factor","taskblock","sim_id","question","response","duration"
"training","n1","t1","How many clusters do you see?","default","default"
"training","n2","t2","How many clusters do you see?","2","4"
"training","p1","t1","Very important distinguishing clusters 'a' from 'b'","","32"
"training","p1","t1","Somewhat important distinguishing clusters 'a' from 'b'","","47"
"training","p1","t1","Very important distinguishing clusters 'b' from 'c'","","113"
"training","p1","t1","Somewhat important distinguishing clusters 'b' from 'c'","","117"
"training","p2","t2","Very important distinguishing clusters 'a' from 'b'","","20"
"training","p2","t2","Somewhat important distinguishing clusters 'a' from 'b'","","31"
"training","p2","t2","Very important distinguishing clusters 'b' from 'c'","","110"
"training","p2","t2","Somewhat important distinguishing clusters 'b' from 'c'","","112"
"pca","n1","201","How many clusters do you see?","3","4"
"pca","n2","207","How many clusters do you see?","3","11"
"pca","n3","213","How many clusters do you see?","4","7"
"pca","p1","202","Very important distinguishing clusters 'a' from 'b'","","56"
"pca","p1","202","Somewhat important distinguishing clusters 'a' from 'b'","","61"
"pca","p1","202","Very important distinguishing clusters 'b' from 'c'","","77"
"pca","p1","202","Somewhat important distinguishing clusters 'b' from 'c'","","80"
"pca","p2","208","Very important distinguishing clusters 'a' from 'b'","","17"
"pca","p2","208","Somewhat important distinguishing clusters 'a' from 'b'","","55"
"pca","p2","208","Very important distinguishing clusters 'b' from 'c'","","84"
"pca","p2","208","Somewhat important distinguishing clusters 'b' from 'c'","","101"
"pca","p3","214","Very important distinguishing clusters 'a' from 'b'","","47"
"pca","p3","214","Somewhat important distinguishing clusters 'a' from 'b'","","50"
"pca","p3","214","Very important distinguishing clusters 'b' from 'c'","","54"
"pca","p3","214","Somewhat important distinguishing clusters 'b' from 'c'","","56"
"grand","n1","203","How many clusters do you see?","default","default"
"grand","n2","209","How many clusters do you see?","default","default"
"grand","n3","215","How many clusters do you see?","default","default"
"grand","p1","204","Very important distinguishing clusters 'a' from 'b'","default","default"
"grand","p1","204","Somewhat important distinguishing clusters 'a' from 'b'","default","default"
"grand","p1","204","Very important distinguishing clusters 'b' from 'c'","default","default"
"grand","p1","204","Somewhat important distinguishing clusters 'b' from 'c'","default","default"
"grand","p2","210","Very important distinguishing clusters 'a' from 'b'","default","default"
"grand","p2","210","Somewhat important distinguishing clusters 'a' from 'b'","default","default"
"grand","p2","210","Very important distinguishing clusters 'b' from 'c'","default","default"
"grand","p2","210","Somewhat important distinguishing clusters 'b' from 'c'","default","default"
"grand","p3","216","Very important distinguishing clusters 'a' from 'b'","default","default"
"grand","p3","216","Somewhat important distinguishing clusters 'a' from 'b'","default","default"
"grand","p3","216","Very important distinguishing clusters 'b' from 'c'","default","default"
"grand","p3","216","Somewhat important distinguishing clusters 'b' from 'c'","default","default"
"manual","n1","205","How many clusters do you see?","2","28"
"manual","n2","211","How many clusters do you see?","4","5"
"manual","n3","217","How many clusters do you see?","default","default"
"manual","p1","206","Very important distinguishing clusters 'a' from 'b'","","25"
"manual","p1","206","Somewhat important distinguishing clusters 'a' from 'b'","","32"
"manual","p1","206","Very important distinguishing clusters 'b' from 'c'","","126"
"manual","p1","206","Somewhat important distinguishing clusters 'b' from 'c'","","125"
"manual","p2","212","Very important distinguishing clusters 'a' from 'b'","","11"
"manual","p2","212","Somewhat important distinguishing clusters 'a' from 'b'","","18"
"manual","p2","212","Very important distinguishing clusters 'b' from 'c'","","53"
"manual","p2","212","Somewhat important distinguishing clusters 'b' from 'c'","","128"
"manual","p3","218","Very important distinguishing clusters 'a' from 'b'","","42"
"manual","p3","218","Somewhat important distinguishing clusters 'a' from 'b'","","85"
"manual","p3","218","Very important distinguishing clusters 'b' from 'c'","","110"
"manual","p3","218","Somewhat important distinguishing clusters 'b' from 'c'","","114"
"survey","survey1",NA,"What gender are you?","male","3"
"survey","survey2",NA,"What age are you?","30 to 39","5"
"survey","survey3",NA,"What is your highest level of completed education?","Undergraduate","11"
"survey","survey4",NA,"I am experienced with data visualization.","7","17"
"survey","survey5",NA,"I have education in multivariate statistical analysis.","8","22"
"survey_pca","survey_pca1",NA,"I was already familiar with this visualization.","9","27"
"survey_pca","survey_pca2",NA,"I found this visualization easy to use.","7","30"
"survey_pca","survey_pca3",NA,"I felt confident in my answer with this visualization.","6","33"
"survey_pca","survey_pca4",NA,"I liked using this visualization.","4","36"
"survey_grand","survey_grand1",NA,"I was already familiar with this visualization.","default","default"
"survey_grand","survey_grand2",NA,"I found this visualization easy to use.","default","default"
"survey_grand","survey_grand3",NA,"I felt confident in my answer with this visualization.","default","default"
"survey_grand","survey_grand4",NA,"I liked using this visualization.","default","default"
"survey_manual","survey_manual1",NA,"I was already familiar with this visualization.","9","42"
"survey_manual","survey_manual2",NA,"I found this visualization easy to use.","6","47"
"survey_manual","survey_manual3",NA,"I felt confident in my answer with this visualization.","8","51"
"survey_manual","survey_manual4",NA,"I liked using this visualization.","7","85"
