"user_uid","group","factor","task","block","sim_id","question","pca_inter","manual_inter","resp_inter","plot_elapsed","ttr","response","answer","task_score","clust_score","intensity_score","line_score","concern","score"
"1_MU00163053_003","1","training","1","t","t1","How many clusters do you see?",1,1,1,NA,"(default)","0 (default)","3",NA,"dont trust","dont trust",NA,"Yes, ttr defaulted. Consider removing.",3
"1_MU00163053_003","1","training","1","t","t2","How many clusters do you see?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","training","2","t","t1","Very important distinguishing clusters 'a' from 'b'",1,1,1,NA,"(default)","none (default)","V 1, V 2, V 3, V 6",NA,"dont trust","dont trust",-16,"Yes, ttr defaulted. Consider removing.",-24
"1_MU00163053_003","1","training","2","t","t1","Somewhat important distinguishing clusters 'a' from 'b'",1,1,1,NA,"(default)","none (default)","<none>",NA,"dont trust","dont trust",0,"Yes, ttr defaulted. Consider removing.",-24
"1_MU00163053_003","1","training","2","t","t1","Very important distinguishing clusters 'b' from 'c'",1,1,1,NA,"(default)","none (default)","V 2, V 6",NA,"dont trust","dont trust",-8,"Yes, ttr defaulted. Consider removing.",-24
"1_MU00163053_003","1","training","2","t","t1","Somewhat important distinguishing clusters 'b' from 'c'",1,1,1,NA,"(default)","none (default)","<none>",NA,"dont trust","dont trust",0,"Yes, ttr defaulted. Consider removing.",-24
"1_MU00163053_003","1","training","2","t","t2","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","training","2","t","t2","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","training","2","t","t2","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","training","2","t","t2","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","pca","1","1","201","How many clusters do you see?",1,1,1,0,"(default)","0 (default)","3",NA,"dont trust","dont trust",NA,"Yes, ttr defaulted. Consider removing.",3
"1_MU00163053_003","1","pca","1","2","207","How many clusters do you see?",1,1,1,0,"(default)","0 (default)","4",NA,"dont trust","dont trust",NA,"Yes, ttr defaulted. Consider removing.",4
"1_MU00163053_003","1","pca","1","3","213","How many clusters do you see?",1,1,1,0,"(default)","0 (default)","4",NA,"dont trust","dont trust",NA,"Yes, ttr defaulted. Consider removing.",4
"1_MU00163053_003","1","pca","2","1","202","Very important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 2, V 4, V 5",NA,"dont trust","dont trust",-12,"Yes, ttr defaulted. Consider removing.",-28
"1_MU00163053_003","1","pca","2","2","202","Somewhat important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 2",NA,"dont trust","dont trust",-4,"Yes, ttr defaulted. Consider removing.",-18
"1_MU00163053_003","1","pca","2","3","202","Very important distinguishing clusters 'b' from 'c'",1,1,1,0,"(default)","none (default)","V 6",NA,"dont trust","dont trust",-4,"Yes, ttr defaulted. Consider removing.",-18
"1_MU00163053_003","1","pca","2","1","202","Somewhat important distinguishing clusters 'b' from 'c'",1,1,1,0,"(default)","none (default)","V 1, V 2, V 4, V 8",NA,"dont trust","dont trust",-4,"Yes, ttr defaulted. Consider removing.",-18
"1_MU00163053_003","1","pca","2","2","208","Very important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 4, V 8",NA,"dont trust","dont trust",-8,"Yes, ttr defaulted. Consider removing.",-18
"1_MU00163053_003","1","pca","2","3","208","Somewhat important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 1, V 2",NA,"dont trust","dont trust",-2,"Yes, ttr defaulted. Consider removing.",-18
"1_MU00163053_003","1","pca","2","1","208","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","pca","2","2","208","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","pca","2","3","214","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","pca","2","1","214","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","pca","2","2","214","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","pca","2","3","214","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","grand","1","1","203","How many clusters do you see?",1,1,1,0,"(default)","0 (default)","3",NA,"dont trust","dont trust",NA,"Yes, ttr defaulted. Consider removing.",3
"1_MU00163053_003","1","grand","1","2","209","How many clusters do you see?",1,1,1,0,"(default)","0 (default)","4",NA,"dont trust","dont trust",NA,"Yes, ttr defaulted. Consider removing.",4
"1_MU00163053_003","1","grand","1","3","215","How many clusters do you see?",1,1,1,0,"(default)","0 (default)","4",NA,"dont trust","dont trust",NA,"Yes, ttr defaulted. Consider removing.",4
"1_MU00163053_003","1","grand","2","1","204","Very important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 4",NA,"dont trust","dont trust",-4,"Yes, ttr defaulted. Consider removing.",-12
"1_MU00163053_003","1","grand","2","2","204","Somewhat important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 1, V 4, V 6",NA,"dont trust","dont trust",-12,"Yes, ttr defaulted. Consider removing.",-24
"1_MU00163053_003","1","grand","2","3","204","Very important distinguishing clusters 'b' from 'c'",1,1,1,0,"(default)","none (default)","V 8",NA,"dont trust","dont trust",-4,"Yes, ttr defaulted. Consider removing.",-16
"1_MU00163053_003","1","grand","2","1","204","Somewhat important distinguishing clusters 'b' from 'c'",1,1,1,0,"(default)","none (default)","V 3, V 4",NA,"dont trust","dont trust",-2,"Yes, ttr defaulted. Consider removing.",-16
"1_MU00163053_003","1","grand","2","2","210","Very important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 3, V 5",NA,"dont trust","dont trust",-8,"Yes, ttr defaulted. Consider removing.",-16
"1_MU00163053_003","1","grand","2","3","210","Somewhat important distinguishing clusters 'a' from 'b'",1,1,1,0,"(default)","none (default)","V 4, V 8",NA,"dont trust","dont trust",-2,"Yes, ttr defaulted. Consider removing.",-16
"1_MU00163053_003","1","grand","2","1","210","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","grand","2","2","210","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","grand","2","3","216","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","grand","2","1","216","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"1_MU00163053_003","1","grand","2","2","216","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
