"user_id","factor","taskblock","sim_id","question","interaction","duration","response","answer","score","concern"
"3_MU00163053_002","training","n1","t1","How many clusters do you see?",6,"12","3","3",0,"no"
"3_MU00163053_002","training","n2","t2","How many clusters do you see?",7,"19","3","3",0,"no"
"3_MU00163053_002","training","p1","t1","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA
"3_MU00163053_002","training","p1","t1","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA
"3_MU00163053_002","training","p1","t1","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA
"3_MU00163053_002","training","p1","t1","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA
"3_MU00163053_002","training","p2","t2","Very important distinguishing clusters 'a' from 'b'",16,"104","V3","V 1, V 2, V 3, V 6",-12,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","training","p2","t2","Somewhat important distinguishing clusters 'a' from 'b'",16,"103","V1, V2, V6","<none>",-3,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","training","p2","t2","Very important distinguishing clusters 'b' from 'c'",16,"122","V6","V 2, V 6",-4,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","training","p2","t2","Somewhat important distinguishing clusters 'b' from 'c'",16,"139","V2","<none>",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","n1","201","How many clusters do you see?",4,"10","3","3",0,"no"
"3_MU00163053_002","manual","n2","207","How many clusters do you see?",5,"37","4","4",0,"no"
"3_MU00163053_002","manual","n3","213","How many clusters do you see?",4,"10","4","4",0,"no"
"3_MU00163053_002","manual","p1","202","Very important distinguishing clusters 'a' from 'b'",7,"48","V3, V4, V5","V 2, V 4, V 5",-8,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p1","202","Somewhat important distinguishing clusters 'a' from 'b'",7,"46","V2","<none>",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p1","202","Very important distinguishing clusters 'b' from 'c'",7,"59","V3, V4, V5","V 2, V 3, V 4, V 5",-4,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p1","202","Somewhat important distinguishing clusters 'b' from 'c'",7,"57","V2","<none>",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p2","208","Very important distinguishing clusters 'a' from 'b'",3,"35","V2, V5","V 2",-4,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p2","208","Somewhat important distinguishing clusters 'a' from 'b'",3,"31","V3","V 1, V 3",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p2","208","Very important distinguishing clusters 'b' from 'c'",3,"56","V4, V6","V 4, V 6",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p2","208","Somewhat important distinguishing clusters 'b' from 'c'",3,"65","V2, V3, V7","V 1, V 2, V 3, V 7",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p3","214","Very important distinguishing clusters 'a' from 'b'",16,"15","V1, V2","V 6",-12,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p3","214","Somewhat important distinguishing clusters 'a' from 'b'",16,"82","V4, V6, V7","V 1, V 2, V 4, V 8",-5,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p3","214","Very important distinguishing clusters 'b' from 'c'",16,"106","V4, V8","V 4, V 8",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","manual","p3","214","Somewhat important distinguishing clusters 'b' from 'c'",16,"111","V6","V 1, V 2",-3,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","n1","203","How many clusters do you see?",5,"51","3","3",0,"no"
"3_MU00163053_002","pca","n2","209","How many clusters do you see?",4,"6","4","4",0,"no"
"3_MU00163053_002","pca","n3","215","How many clusters do you see?",3,"5","4","4",0,"no"
"3_MU00163053_002","pca","p1","204","Very important distinguishing clusters 'a' from 'b'",4,"17","V4","V 4",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p1","204","Somewhat important distinguishing clusters 'a' from 'b'",4,"34","V1, V3","V 1, V 3",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p1","204","Very important distinguishing clusters 'b' from 'c'",4,"67","V1","V 1",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p1","204","Somewhat important distinguishing clusters 'b' from 'c'",4,"86","V2, V3, V4","V 2, V 3",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p2","210","Very important distinguishing clusters 'a' from 'b'",4,"11","V4","V 1, V 4, V 6",-8,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p2","210","Somewhat important distinguishing clusters 'a' from 'b'",4,"18","V2, V3, V6","V 3",-2,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p2","210","Very important distinguishing clusters 'b' from 'c'",4,"86","V3","V 2, V 3",-4,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p2","210","Somewhat important distinguishing clusters 'b' from 'c'",4,"107","V1, V2, V4, V6","V 4, V 5, V 6",-3,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p3","216","Very important distinguishing clusters 'a' from 'b'",4,"11","V8","V 8",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p3","216","Somewhat important distinguishing clusters 'a' from 'b'",4,"32","V3, V4, V5","V 3, V 4",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p3","216","Very important distinguishing clusters 'b' from 'c'",4,"60","V5","V 3, V 5",-4,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","pca","p3","216","Somewhat important distinguishing clusters 'b' from 'c'",4,"83","V3, V4, V8","V 4, V 8",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","n1","205","How many clusters do you see?",1,"24","2","3",1,"no"
"3_MU00163053_002","grand","n2","211","How many clusters do you see?",1,"10","4","4",0,"no"
"3_MU00163053_002","grand","n3","217","How many clusters do you see?",1,"18","4","4",0,"no"
"3_MU00163053_002","grand","p1","206","Very important distinguishing clusters 'a' from 'b'",1,"18","V2","V 2, V 3, V 5",-8,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p1","206","Somewhat important distinguishing clusters 'a' from 'b'",1,"22","V1, V3, V5","<none>",-3,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p1","206","Very important distinguishing clusters 'b' from 'c'",1,"44","V4","V 4",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p1","206","Somewhat important distinguishing clusters 'b' from 'c'",1,"56","V3, V5","V 2, V 3, V 5",-1,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p2","212","Very important distinguishing clusters 'a' from 'b'",1,"42","V1","V 1",0,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p2","212","Somewhat important distinguishing clusters 'a' from 'b'",1,"71","V2, V4, V5, V6","V 2, V 3, V 4, V 7",-4,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p2","212","Very important distinguishing clusters 'b' from 'c'",1,"92","V2","V 2, V 4, V 7",-8,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p2","212","Somewhat important distinguishing clusters 'b' from 'c'",1,"131","V1, V3, V6, V7","V 1, V 3, V 5",-3,"Some, task2 ab or bc contains same var."
"3_MU00163053_002","grand","p3","218","Very important distinguishing clusters 'a' from 'b'",1,"(default)","none (default)","V 1, V 3, V 5",-12,"Some, task2 ab or bc contains same var."
