"user_uid","group","factor","task","block","sim_id","question","pca_inter","manual_inter","resp_inter","plot_elapsed","ttr","response","answer","task_score","clust_score","intensity_score","line_score","concern","score"
"1_MU00163053_001","1","training","1","t","t1","How many clusters do you see?",26,16,1,NA,"158","3","3",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","training","1","t","t2","How many clusters do you see?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","training","2","t","t1","Very important distinguishing clusters 'a' from 'b'",8,33,2,NA,"384","V3, V6","V 1, V 2, V 3, V 6",NA,-9,-16,-8,"Some, task2 bc contains same var. 'somewhat' unselected by default",-1
"1_MU00163053_001","1","training","2","t","t1","Somewhat important distinguishing clusters 'a' from 'b'",8,33,2,NA,"386","V5","<none>",NA,-9,-2,-1,"Some, task2 bc contains same var. 'somewhat' unselected by default",-1
"1_MU00163053_001","1","training","2","t","t1","Very important distinguishing clusters 'b' from 'c'",8,33,2,NA,"395","V2, V4","V 2, V 6",NA,-9,-16,-8,"Some, task2 bc contains same var. 'somewhat' unselected by default",-1
"1_MU00163053_001","1","training","2","t","t1","Somewhat important distinguishing clusters 'b' from 'c'",8,33,2,NA,"402","V5","<none>",NA,-9,-2,-1,"Some, task2 bc contains same var. 'somewhat' unselected by default",-1
"1_MU00163053_001","1","training","2","t","t2","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","training","2","t","t2","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","training","2","t","t2","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","training","2","t","t2","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","pca","1","1","201","How many clusters do you see?",8,1,5,0,"18","3","3",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","pca","1","2","207","How many clusters do you see?",9,1,6,0,"29","4","4",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","pca","1","3","213","How many clusters do you see?",14,1,6,0,"38","4","4",NA,NA,NA,NA,"no",0
"1_MU00163053_001","1","pca","2","1","202","Very important distinguishing clusters 'a' from 'b'",24,1,10,0,"85","V1, V4","V 2, V 4, V 5",NA,-13,-28,-12,"Some, task2 bc contains same var. 'somewhat' unselected by default",-1
"1_MU00163053_001","1","pca","2","2","202","Somewhat important distinguishing clusters 'a' from 'b'",29,1,5,0,"80","V2, V4, V6","V 2",NA,-11,-24,-8,"Some, task2 bc contains same var. 'somewhat' unselected by default",-3
"1_MU00163053_001","1","pca","2","3","202","Very important distinguishing clusters 'b' from 'c'",26,1,2,0,"61","V2, V6","V 6",NA,-7,-20,-4,"Some, task2 bc contains same var. 'somewhat' unselected by default",-3
"1_MU00163053_001","1","pca","2","1","202","Somewhat important distinguishing clusters 'b' from 'c'",26,1,2,0,"78","V1","V 1, V 2, V 4, V 8",NA,-19,-6,-3,"Some, task2 bc contains same var. 'somewhat' unselected by default",-3
"1_MU00163053_001","1","pca","2","2","208","Very important distinguishing clusters 'a' from 'b'",26,1,2,0,"104","V1, V2","V 4, V 8",NA,-7,-20,-16,"Some, task2 bc contains same var. 'somewhat' unselected by default",-3
"1_MU00163053_001","1","pca","2","3","208","Somewhat important distinguishing clusters 'a' from 'b'",26,1,2,0,"114","V6","V 1, V 2",NA,-19,-6,-3,"Some, task2 bc contains same var. 'somewhat' unselected by default",-3
"1_MU00163053_001","1","pca","2","1","208","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","pca","2","2","208","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","pca","2","3","214","Very important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","pca","2","1","214","Somewhat important distinguishing clusters 'a' from 'b'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","pca","2","2","214","Very important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1_MU00163053_001","1","pca","2","3","214","Somewhat important distinguishing clusters 'b' from 'c'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
